20200501 013600,1.09483,1.09496,1.09482,1.09495,0
20200501 013700,1.09491,1.09495,1.0949,1.09491,0
20200501 013800,1.09491,1.09493,1.09485,1.09485,0
20200501 013900,1.09486,1.09494,1.09478,1.09478,0
20200501 014000,1.09478,1.09481,1.09468,1.09469,0
20200501 014100,1.0947,1.09492,1.0947,1.09488,0
20200501 014200,1.09487,1.09487,1.09476,1.0948,0
20200501 014300,1.0948,1.09486,1.09476,1.09477,0
20200501 014400,1.09476,1.09476,1.09458,1.09467,0
20200501 014500,1.09466,1.09486,1.09464,1.0948,0
20200501 014600,1.0948,1.09482,1.0948,1.09481,0
20200501 014700,1.09483,1.09489,1.0948,1.09485,0
20200501 014800,1.09483,1.09489,1.09477,1.09477,0
20200501 014900,1.09476,1.09479,1.09464,1.09467,0
20200501 015000,1.09467,1.09476,1.09461,1.09476,0
20200501 015100,1.09476,1.09477,1.09466,1.09475,0
20200501 015200,1.09476,1.09482,1.09472,1.09473,0
20200501 015300,1.09473,1.09488,1.09473,1.09488,0
20200501 015400,1.09489,1.09526,1.09487,1.09526,0
20200501 015500,1.09524,1.09524,1.09516,1.09516,0
20200501 015600,1.09515,1.09518,1.09507,1.09511,0
20200501 015700,1.09511,1.09512,1.095,1.09504,0
20200501 015800,1.09504,1.09515,1.09502,1.09509,0
20200501 015900,1.09511,1.09519,1.09502,1.09519,0
20200501 020000,1.0952,1.09576,1.09518,1.09558,0
20200501 020100,1.09558,1.09605,1.09558,1.09587,0
20200501 020200,1.09586,1.09587,1.09569,1.09577,0
20200501 020300,1.09577,1.09591,1.09572,1.09572,0
20200501 020400,1.09571,1.09591,1.0957,1.09589,0
20200501 020500,1.09589,1.09594,1.09564,1.09567,0
20200501 020600,1.09568,1.09587,1.09566,1.09587,0
20200501 020700,1.09585,1.09596,1.09581,1.09596,0
20200501 020800,1.09596,1.0961,1.09587,1.0961,0
20200501 020900,1.0961,1.09625,1.09604,1.09612,0
20200501 021000,1.09613,1.09618,1.096,1.09606,0
20200501 021100,1.09607,1.09613,1.09595,1.09604,0
20200501 021200,1.09603,1.09625,1.09603,1.09609,0
20200501 021300,1.09608,1.09615,1.09601,1.09601,0
20200501 021400,1.09602,1.09608,1.09601,1.09601,0
20200501 021500,1.09601,1.09631,1.09595,1.09627,0
20200501 021600,1.09626,1.09626,1.09614,1.0962,0
20200501 021700,1.09619,1.09626,1.09619,1.09624,0
20200501 021800,1.09625,1.09643,1.09621,1.09643,0
20200501 021900,1.09644,1.09645,1.09632,1.09635,0
20200501 022000,1.09634,1.09634,1.09625,1.09625,0
20200501 022100,1.09626,1.09628,1.09608,1.09609,0
20200501 022200,1.09608,1.09626,1.09608,1.09626,0
20200501 022300,1.09626,1.09632,1.09621,1.09622,0
20200501 022400,1.09624,1.0963,1.09621,1.09627,0
20200501 022500,1.09627,1.09629,1.09613,1.09619,0
20200501 022600,1.09618,1.09621,1.09611,1.09611,0
20200501 022700,1.09611,1.09614,1.09605,1.09614,0
20200501 022800,1.09614,1.09615,1.09609,1.09611,0
20200501 022900,1.09612,1.09621,1.09611,1.09615,0
20200501 023000,1.09615,1.09625,1.09612,1.09617,0
20200501 023100,1.09617,1.0963,1.09617,1.09629,0
20200501 023200,1.09628,1.0964,1.09624,1.0963,0
20200501 023300,1.0963,1.0963,1.09611,1.09612,0
20200501 023400,1.09612,1.09612,1.09578,1.0958,0
20200501 023500,1.09579,1.09592,1.09578,1.09586,0
20200501 023600,1.09584,1.09605,1.09583,1.09605,0
20200501 023700,1.09605,1.09606,1.096,1.09606,0
20200501 023800,1.09606,1.0961,1.09606,1.09606,0
20200501 023900,1.09606,1.09606,1.0959,1.09594,0
20200501 024000,1.09592,1.09592,1.09587,1.09589,0
20200501 024100,1.0959,1.0959,1.09588,1.09589,0
20200501 024200,1.09588,1.09604,1.09587,1.09602,0
20200501 024300,1.09602,1.09602,1.09574,1.09575,0
20200501 024400,1.09578,1.0958,1.09569,1.09569,0
20200501 024500,1.09568,1.09568,1.09553,1.09566,0
20200501 024600,1.09567,1.09579,1.09562,1.09562,0
20200501 024700,1.09565,1.09569,1.09549,1.0955,0
20200501 024800,1.09551,1.09562,1.09546,1.0955,0
20200501 024900,1.09548,1.09554,1.09535,1.09541,0
20200501 025000,1.0954,1.09559,1.0954,1.09545,0
20200501 025100,1.09544,1.09544,1.09532,1.0954,0
20200501 025200,1.0954,1.09548,1.0953,1.09546,0
20200501 025300,1.09547,1.09561,1.09547,1.09559,0
20200501 025400,1.09558,1.09568,1.09554,1.09555,0
20200501 025500,1.09556,1.09583,1.09555,1.09575,0
20200501 025600,1.09574,1.09589,1.09565,1.09589,0
20200501 025700,1.09587,1.09601,1.09578,1.09579,0
20200501 025800,1.09581,1.09583,1.09569,1.0957,0
20200501 025900,1.09575,1.09599,1.09575,1.09599,0
20200501 030000,1.09599,1.09599,1.09579,1.09589,0
20200501 030100,1.09589,1.09637,1.09587,1.09637,0
20200501 030200,1.09638,1.09666,1.09629,1.09665,0
20200501 030300,1.09665,1.09697,1.09663,1.09686,0
20200501 030400,1.09687,1.09687,1.09664,1.09667,0
20200501 030500,1.09668,1.09677,1.09666,1.09672,0
20200501 030600,1.09671,1.09674,1.09661,1.09669,0
20200501 030700,1.09667,1.09669,1.09635,1.09635,0
20200501 030800,1.09635,1.09657,1.09631,1.09657,0
20200501 030900,1.09657,1.09657,1.09647,1.09656,0
20200501 031000,1.0966,1.09673,1.0966,1.09669,0
20200501 031100,1.09668,1.0967,1.09646,1.09646,0
20200501 031200,1.09645,1.09646,1.0963,1.09632,0
20200501 031300,1.09631,1.09632,1.09625,1.0963,0
20200501 031400,1.09629,1.09635,1.09584,1.09588,0
20200501 031500,1.09589,1.09603,1.09588,1.09596,0
20200501 031600,1.09597,1.0962,1.0959,1.09596,0
20200501 031700,1.09597,1.09603,1.09589,1.09592,0
20200501 031800,1.09592,1.09595,1.09585,1.09585,0
20200501 031900,1.09586,1.09586,1.09549,1.09549,0
20200501 032000,1.0955,1.09562,1.09546,1.09553,0
20200501 032100,1.09554,1.09556,1.09539,1.09541,0
20200501 032200,1.09541,1.09554,1.09541,1.09554,0
20200501 032300,1.09554,1.09579,1.09554,1.09579,0
20200501 032400,1.09578,1.09593,1.09557,1.09566,0
20200501 032500,1.09563,1.09578,1.09559,1.0956,0
20200501 032600,1.09561,1.09563,1.09537,1.09539,0
20200501 032700,1.0954,1.09547,1.09524,1.09539,0
20200501 032800,1.0954,1.09558,1.0954,1.09543,0
20200501 032900,1.09541,1.09545,1.09529,1.0954,0
20200501 033000,1.09541,1.09547,1.09528,1.09536,0
20200501 033100,1.09536,1.09536,1.09521,1.09522,0
20200501 033200,1.09521,1.0953,1.09513,1.09524,0
20200501 033300,1.09525,1.09536,1.09504,1.09504,0
20200501 033400,1.09505,1.09522,1.09488,1.09496,0
20200501 033500,1.09494,1.09527,1.0949,1.09527,0
20200501 033600,1.09526,1.09558,1.09523,1.09548,0
20200501 033700,1.09547,1.09557,1.09533,1.09541,0
20200501 033800,1.09541,1.09557,1.09539,1.09548,0
20200501 033900,1.09546,1.09546,1.0951,1.09525,0
20200501 034000,1.09524,1.09553,1.09515,1.09553,0
20200501 034100,1.09553,1.09567,1.0955,1.09567,0
20200501 034200,1.09568,1.09568,1.09547,1.09561,0
20200501 034300,1.09562,1.09562,1.09539,1.09539,0
20200501 034400,1.0954,1.09554,1.09538,1.09551,0
20200501 034500,1.0955,1.09566,1.09545,1.09566,0
20200501 034600,1.09566,1.09587,1.09552,1.09581,0
20200501 034700,1.09581,1.09589,1.09571,1.0958,0
20200501 034800,1.0958,1.09584,1.09568,1.09582,0
20200501 034900,1.09582,1.09599,1.09582,1.09585,0
20200501 035000,1.09585,1.09586,1.09572,1.09582,0
20200501 035100,1.09583,1.09585,1.09549,1.09551,0
20200501 035200,1.0955,1.09559,1.09547,1.09557,0
20200501 035300,1.09557,1.09572,1.09557,1.09561,0
20200501 035400,1.09559,1.09586,1.09559,1.09583,0
20200501 035500,1.09579,1.09587,1.09571,1.0958,0
20200501 035600,1.0958,1.09588,1.09573,1.09588,0
20200501 035700,1.0959,1.09642,1.0959,1.09639,0
20200501 035800,1.09631,1.09644,1.09617,1.09644,0
20200501 035900,1.09643,1.09665,1.09638,1.09646,0
